"fecha","cotizacion"
02/07/2015,"15.68210"
03/07/2015,"15.69180"
06/07/2015,"15.75300"
07/07/2015,"15.82810"
08/07/2015,"15.81740"
09/07/2015,"15.78560"
10/07/2015,"15.73290"
13/07/2015,"15.74040"
14/07/2015,"15.67280"
15/07/2015,"15.74700"
16/07/2015,"15.80140"
17/07/2015,"15.91210"
20/07/2015,"15.98560"
21/07/2015,"15.97280"
22/07/2015,"16.09500"
23/07/2015,"16.09880"
24/07/2015,"16.23640"
27/07/2015,"16.26810"
28/07/2015,"16.26380"
29/07/2015,"16.21400"
30/07/2015,"16.45120"
31/07/2015,"16.07720"
03/08/2015,"16.11290"
04/08/2015,"16.17360"
05/08/2015,"16.37620"
06/08/2015,"16.35330"
07/08/2015,"16.16450"
10/08/2015,"16.16520"
11/08/2015,"16.32410"
12/08/2015,"16.29760"
13/08/2015,"16.35410"
14/08/2015,"16.36580"
17/08/2015,"16.39930"
18/08/2015,"16.43170"
19/08/2015,"16.49080"
20/08/2015,"16.71820"
21/08/2015,"16.91710"
24/08/2015,"17.09750"
25/08/2015,"16.98590"
26/08/2015,"17.10650"
27/08/2015,"16.88630"
28/08/2015,"16.76840"
31/08/2015,"16.78290"
01/09/2015,"16.86920"
02/09/2015,"16.94440"
03/09/2015,"16.79180"
04/09/2015,"16.84540"
07/09/2015,"16.98800"
08/09/2015,"16.79790"
09/09/2015,"16.77730"
10/09/2015,"16.81030"
11/09/2015,"16.82610"
14/09/2015,"16.81680"
15/09/2015,"16.77160"
17/09/2015,"16.56800"
18/09/2015,"16.53900"
21/09/2015,"16.68650"
22/09/2015,"16.87130"
23/09/2015,"17.04530"
24/09/2015,"17.11490"
25/09/2015,"16.95950"
28/09/2015,"17.00730"
29/09/2015,"17.07710"
30/09/2015,"16.90530"
01/10/2015,"16.85660"
02/10/2015,"16.81620"
05/10/2015,"16.69410"
06/10/2015,"16.68780"
07/10/2015,"16.57620"
08/10/2015,"16.54640"
09/10/2015,"16.41800"
12/10/2015,"16.42190"
13/10/2015,"16.58480"
14/10/2015,"16.58040"
15/10/2015,"16.42500"
16/10/2015,"16.39590"
19/10/2015,"16.48990"
20/10/2015,"16.56180"
21/10/2015,"16.66000"
22/10/2015,"16.52840"
23/10/2015,"16.51380"
26/10/2015,"16.49980"
27/10/2015,"16.55450"
28/10/2015,"16.45030"
29/10/2015,"16.62190"
30/10/2015,"16.52440"
03/11/2015,"16.41960"
04/11/2015,"16.51470"
05/11/2015,"16.59590"
06/11/2015,"16.83820"
09/11/2015,"16.87000"
10/11/2015,"16.76580"
11/11/2015,"16.71730"
12/11/2015,"16.74060"
13/11/2015,"16.73950"
17/11/2015,"16.75700"
18/11/2015,"16.76360"
19/11/2015,"16.57480"
20/11/2015,"16.51200"
23/11/2015,"16.53060"
24/11/2015,"16.47050"
25/11/2015,"16.55480"
26/11/2015,"16.54920"
27/11/2015,"16.57840"
30/11/2015,"16.58560"
01/12/2015,"16.51040"
02/12/2015,"16.59330"
03/12/2015,"16.70950"
04/12/2015,"16.67570"
07/12/2015,"16.90440"
08/12/2015,"17.01640"
09/12/2015,"17.01600"
10/12/2015,"17.07500"
11/12/2015,"17.35920"
14/12/2015,"17.37760"
15/12/2015,"17.15290"
